기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2018.3/4	용산구	원효로1동	7,337	15,997	7,799	8,198	15,394	7,480	7,914	603	319	284	2.1	1,830
2018.3/4	용산구	한강로동	9,442	19,140	9,392	9,748	17,597	8,569	9,028	1,543	823	720	1.86	2,957
2018.3/4	용산구	한남동	10,940	23,647	11,870	11,777	20,474	9,884	10,590	3,173	1,986	1,187	1.87	3,453
2018.3/4	성동구	소계	136,831	317,197	155,652	161,545	309,251	152,006	157,245	7,946	3,646	4,300	2.26	42,581
2018.3/4	성동구	왕십리2동	7,673	18,197	8,887	9,310	17,815	8,727	9,088	382	160	222	2.32	2,387
2018.3/4	성동구	마장동	10,635	24,213	11,913	12,300	23,517	11,632	11,885	696	281	415	2.21	3,481
2018.3/4	성동구	사근동	7,098	13,211	6,619	6,592	11,615	5,999	5,616	1,596	620	976	1.64	1,414
2018.3/4	성동구	행당1동	7,151	16,382	7,973	8,409	15,931	7,777	8,154	451	196	255	2.23	2,254
2018.3/4	성동구	행당2동	9,492	25,171	11,886	13,285	25,084	11,848	13,236	87	38	49	2.64	3,343
2018.3/4	성동구	응봉동	6,219	16,377	7,764	8,613	16,314	7,741	8,573	63	23	40	2.62	2,341
2018.3/4	성동구	금호1가동	6,549	16,068	7,729	8,339	15,966	7,681	8,285	102	48	54	2.44	2,280
2018.3/4	성동구	금호4가동	6,495	15,463	7,397	8,066	15,313	7,329	7,984	150	68	82	2.36	2,117
2018.3/4	성동구	성수1가1동	7,651	17,622	8,849	8,773	17,304	8,663	8,641	318	186	132	2.26	1,967
2018.3/4	성동구	성수1가2동	7,247	15,960	7,989	7,971	15,526	7,771	7,755	434	218	216	2.14	1,992
2018.3/4	성동구	성수2가1동	8,563	18,396	9,536	8,860	17,664	9,182	8,482	732	354	378	2.06	2,622
2018.3/4	성동구	성수2가3동	5,658	11,936	6,174	5,762	11,588	5,974	5,614	348	200	148	2.05	1,695
2018.3/4	성동구	송정동	5,510	11,820	6,262	5,558	11,298	6,007	5,291	522	255	267	2.05	1,601
2018.3/4	성동구	용답동	8,044	16,388	8,639	7,749	15,285	8,098	7,187	1,103	541	562	1.9	2,468
2018.3/4	성동구	왕십리도선동	11,590	27,869	13,318	14,551	27,376	13,101	14,275	493	217	276	2.36	3,335
2018.3/4	성동구	금호2.3가동	10,312	24,533	11,736	12,797	24,332	11,647	12,685	201	89	112	2.36	3,634
2018.3/4	성동구	옥수동	10,944	27,591	12,981	14,610	27,323	12,829	14,494	268	152	116	2.5	3,650
2018.3/4	광진구	소계	161,714	369,999	179,120	190,879	355,032	172,678	182,354	14,967	6,442	8,525	2.2	45,202
2018.3/4	광진구	화양동	15,304	24,828	11,416	13,412	21,516	10,304	11,212	3,312	1,112	2,200	1.41	2,177
2018.3/4	광진구	군자동	10,364	21,862	10,759	11,103	20,042	9,898	10,144	1,820	861	959	1.93	2,700
2018.3/4	광진구	중곡1동	7,892	16,511	8,094	8,417	16,061	7,904	8,157	450	190	260	2.04	2,237
2018.3/4	광진구	중곡2동	10,226	22,736	10,992	11,744	22,370	10,835	11,535	366	157	209	2.19	2,876
2018.3/4	광진구	중곡3동	8,450	17,875	8,854	9,021	17,639	8,772	8,867	236	82	154	2.09	2,507
2018.3/4	광진구	중곡4동	13,150	31,333	15,446	15,887	30,985	15,310	15,675	348	136	212	2.36	4,386
2018.3/4	광진구	능동	6,118	11,882	5,516	6,366	11,547	5,350	6,197	335	166	169	1.89	1,434
2018.3/4	광진구	구의1동	11,556	23,416	11,218	12,198	22,667	10,863	11,804	749	355	394	1.96	2,859
2018.3/4	광진구	구의2동	10,708	25,928	12,566	13,362	25,530	12,398	13,132	398	168	230	2.38	3,683
2018.3/4	광진구	구의3동	12,162	30,548	14,570	15,978	30,229	14,419	15,810	319	151	168	2.49	3,532
2018.3/4	광진구	광장동	11,999	36,407	17,662	18,745	36,237	17,588	18,649	170	74	96	3.02	3,355
2018.3/4	광진구	자양1동	11,345	24,545	11,854	12,691	23,380	11,311	12,069	1,165	543	622	2.06	3,061
2018.3/4	광진구	자양2동	11,318	27,658	13,581	14,077	27,290	13,415	13,875	368	166	202	2.41	3,443
2018.3/4	광진구	자양3동	11,053	30,193	14,574	15,619	29,873	14,433	15,440	320	141	179	2.7	3,518
2018.3/4	광진구	자양4동	10,069	24,277	12,018	12,259	19,666	9,878	9,788	4,611	2,140	2,471	1.95	3,434
2018.3/4	동대문구	소계	162,232	366,101	180,817	185,284	350,556	174,863	175,693	15,545	5,954	9,591	2.16	57,096
2018.3/4	동대문구	회기동	5,922	12,872	5,799	7,073	10,388	4,982	5,406	2,484	817	1,667	1.75	1,456
2018.3/4	동대문구	휘경1동	6,880	14,545	7,112	7,433	12,996	6,520	6,476	1,549	592	957	1.89	2,175
2018.3/4	동대문구	휘경2동	11,189	25,119	12,324	12,795	24,595	12,141	12,454	524	183	341	2.2	3,462
2018.3/4	동대문구	청량리동	10,521	22,679	11,363	11,316	21,966	11,027	10,939	713	336	377	2.09	4,994
2018.3/4	동대문구	용신동	16,292	31,783	16,313	15,470	30,312	15,661	14,651	1,471	652	819	1.86	5,306
2018.3/4	동대문구	제기동	12,762	27,482	13,798	13,684	25,159	12,898	12,261	2,323	900	1,423	1.97	5,224
2018.3/4	동대문구	전농1동	14,430	30,673	15,478	15,195	30,158	15,255	14,903	515	223	292	2.09	5,125
2018.3/4	동대문구	전농2동	7,681	20,403	9,774	10,629	19,946	9,622	10,324	457	152	305	2.6	3,294
2018.3/4	동대문구	답십리1동	12,105	28,873	14,104	14,769	28,462	13,924	14,538	411	180	231	2.35	3,595
2018.3/4	동대문구	답십리2동	11,997	29,160	14,278	14,882	28,865	14,143	14,722	295	135	160	2.41	4,852
2018.3/4	동대문구	장안1동	17,126	39,264	19,617	19,647	38,646	19,345	19,301	618	272	346	2.26	5,515
2018.3/4	동대문구	장안2동	12,643	31,238	15,628	15,610	30,978	15,537	15,441	260	91	169	2.45	4,212
2018.3/4	동대문구	이문1동	13,971	29,797	14,374	15,423	26,421	13,193	13,228	3,376	1,181	2,195	1.89	4,400
2018.3/4	동대문구	이문2동	8,713	22,213	10,855	11,358	21,664	10,615	11,049	549	240	309	2.49	3,486
2018.3/4	중랑구	소계	180,044	409,058	203,014	206,044	404,313	201,089	203,224	4,745	1,925	2,820	2.25	61,271
2018.3/4	중랑구	면목2동	12,178	26,572	13,291	13,281	26,224	13,164	13,060	348	127	221	2.15	3,920
2018.3/4	중랑구	면목4동	9,473	20,901	10,367	10,534	20,601	10,237	10,364	300	130	170	2.17	3,370
